1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q2,367088.00,335462.00,263390.00,129641.00,133749.00,33598.00,1520.00,32078.00,3332.00,35142.00,31626.00,17256.00,0.00,0.00,0.00,0.00,0.00,2560.00,0.00,2560.00,8743.00,3068.00,2925.00,143.00,0.00,39428.00,28454.00,4995.00,4851.00,18609.00,10887.00,0.00,86.00,0.00,327660.00,105796.00,42143.00,8.68
1953:Q3,368778.00,337026.00,265056.00,131352.00,133704.00,34170.00,1547.00,32623.00,3380.00,34420.00,31751.00,17215.00,0.00,0.00,0.00,0.00,0.00,2552.00,0.00,2552.00,8850.00,3135.00,2988.00,146.00,0.00,40265.00,28988.00,5130.00,4856.00,19002.00,11189.00,0.00,88.00,0.00,328513.00,106773.00,42312.00,8.82
1953:Q4,368657.00,337209.00,264204.00,131004.00,133200.00,34705.00,1560.00,33145.00,3430.00,34869.00,31448.00,17217.00,0.00,0.00,0.00,0.00,0.00,2798.00,0.00,2798.00,8233.00,3201.00,3052.00,148.00,0.00,38441.00,28357.00,4434.00,4775.00,19148.00,9993.00,0.00,91.00,0.00,330216.00,106361.00,41887.00,8.59
1954:Q1,370691.00,338563.00,264497.00,130778.00,133719.00,35149.00,1568.00,33581.00,3506.00,35411.00,32128.00,17276.00,0.00,0.00,0.00,0.00,0.00,2489.00,0.00,2489.00,9097.00,3266.00,3117.00,149.00,0.00,40247.00,28803.00,4521.00,4954.00,19327.00,11352.00,0.00,92.00,0.00,330444.00,106107.00,41542.00,8.72
1954:Q2,372192.00,340120.00,266067.00,131637.00,134430.00,35660.00,1579.00,34081.00,3520.00,34873.00,32072.00,17400.00,0.00,0.00,0.00,0.00,0.00,2562.00,0.00,2562.00,8777.00,3333.00,3183.00,150.00,0.00,41708.00,29907.00,4764.00,4999.00,20144.00,11707.00,0.00,94.00,0.00,330484.00,106777.00,41376.00,9.05
1954:Q3,375311.00,342945.00,269336.00,133717.00,135619.00,35103.00,1591.00,33512.00,3559.00,34948.00,32366.00,17538.00,0.00,0.00,0.00,0.00,0.00,2512.00,0.00,2512.00,8916.00,3400.00,3248.00,152.00,0.00,43537.00,30884.00,5029.00,5047.00,20808.00,12557.00,0.00,96.00,0.00,331774.00,108463.00,41733.00,9.31
1954:Q4,376570.00,344491.00,271288.00,134353.00,136935.00,35045.00,1593.00,33452.00,3603.00,34554.00,32079.00,17641.00,0.00,0.00,0.00,0.00,0.00,2799.00,0.00,2799.00,8174.00,3465.00,3311.00,154.00,0.00,42743.00,30915.00,4661.00,5078.00,21176.00,11730.00,0.00,99.00,0.00,333826.00,108900.00,42221.00,9.26
1955:Q1,380700.00,347995.00,273935.00,135670.00,138265.00,35512.00,1613.00,33899.00,3770.00,34778.00,32706.00,17722.00,0.00,0.00,0.00,0.00,0.00,2501.00,0.00,2501.00,8955.00,3528.00,3372.00,156.00,0.00,44372.00,31602.00,4649.00,5310.00,21643.00,12669.00,0.00,101.00,0.00,336329.00,110013.00,42854.00,9.40
1955:Q2,383552.00,351075.00,277893.00,137561.00,140332.00,36197.00,1647.00,34550.00,3814.00,33171.00,32477.00,17791.00,0.00,0.00,0.00,0.00,0.00,2619.00,0.00,2619.00,8476.00,3591.00,3434.00,157.00,0.00,46506.00,33305.00,5292.00,5477.00,22536.00,13098.00,0.00,103.00,0.00,337045.00,111574.00,43745.00,9.88
1955:Q3,388228.00,355583.00,282691.00,139263.00,143428.00,37136.00,1658.00,35478.00,3858.00,31898.00,32645.00,17857.00,0.00,0.00,0.00,0.00,0.00,2613.00,0.00,2613.00,8521.00,3655.00,3494.00,161.00,0.00,48238.00,34494.00,5665.00,5582.00,23247.00,13638.00,0.00,105.00,0.00,339991.00,112969.00,44886.00,10.15
1955:Q4,391909.00,359454.00,287208.00,140158.00,147050.00,38015.00,1659.00,36356.00,3850.00,30381.00,32455.00,17924.00,0.00,0.00,0.00,0.00,0.00,2905.00,0.00,2905.00,7907.00,3719.00,3553.00,165.00,0.00,48105.00,34838.00,5737.00,5575.00,23526.00,13157.00,0.00,109.00,0.00,343804.00,113624.00,46470.00,10.13
1956:Q1,399383.00,366109.00,292719.00,141411.00,151308.00,38694.00,1679.00,37015.00,3949.00,30746.00,33275.00,17961.00,0.00,0.00,0.00,0.00,0.00,2631.00,0.00,2631.00,8912.00,3771.00,3603.00,168.00,0.00,49768.00,35453.00,5764.00,5653.00,24036.00,14204.00,0.00,111.00,0.00,349615.00,114576.00,48852.00,10.14
1956:Q2,405848.00,372324.00,297114.00,143711.00,153403.00,39211.00,1694.00,37517.00,4000.00,31999.00,33524.00,17980.00,0.00,0.00,0.00,0.00,0.00,2732.00,0.00,2732.00,8993.00,3819.00,3647.00,172.00,0.00,51474.00,36909.00,6217.00,5793.00,24898.00,14452.00,0.00,113.00,0.00,354374.00,116371.00,48853.00,10.42
1956:Q3,410890.00,376761.00,301340.00,144161.00,157179.00,39974.00,1727.00,38247.00,4061.00,31386.00,34129.00,18015.00,0.00,0.00,0.00,0.00,0.00,2772.00,0.00,2772.00,9474.00,3868.00,3693.00,175.00,0.00,52977.00,37908.00,6565.00,5814.00,25529.00,14953.00,0.00,115.00,0.00,357913.00,116508.00,50201.00,10.59
1956:Q4,412956.00,378826.00,302998.00,143703.00,159295.00,40433.00,1722.00,38711.00,4110.00,31285.00,34130.00,18095.00,0.00,0.00,0.00,0.00,0.00,3061.00,0.00,3061.00,9051.00,3923.00,3745.00,178.00,0.00,52127.00,37929.00,6279.00,5935.00,25715.00,14080.00,0.00,118.00,0.00,360829.00,115913.00,50752.00,10.51
1957:Q1,417886.00,383014.00,306042.00,143872.00,162170.00,41249.00,1724.00,39525.00,4183.00,31540.00,34873.00,18216.00,0.00,0.00,0.00,0.00,0.00,2748.00,0.00,2748.00,9927.00,3982.00,3800.00,182.00,0.00,53403.00,38245.00,6218.00,6095.00,25933.00,15038.00,0.00,119.00,0.00,364484.00,115895.00,51343.00,10.49
1957:Q2,421401.00,386969.00,309173.00,144902.00,164271.00,41384.00,1728.00,39656.00,4242.00,32170.00,34431.00,18355.00,0.00,0.00,0.00,0.00,0.00,2869.00,0.00,2869.00,9159.00,4049.00,3860.00,189.00,0.00,54166.00,39336.00,6582.00,6167.00,26587.00,14710.00,0.00,120.00,0.00,367235.00,116482.00,52058.00,10.71
1957:Q3,425838.00,391356.00,312500.00,146344.00,166156.00,41737.00,1783.00,39954.00,4321.00,32798.00,34481.00,18532.00,0.00,0.00,0.00,0.00,0.00,2843.00,0.00,2843.00,8997.00,4109.00,3918.00,191.00,0.00,54998.00,40086.00,6658.00,6200.00,27229.00,14791.00,0.00,121.00,0.00,370840.00,117489.00,52460.00,10.81
1957:Q4,428049.00,393648.00,313203.00,145966.00,167237.00,42764.00,1888.00,40876.00,4392.00,33289.00,34401.00,18762.00,0.00,0.00,0.00,0.00,0.00,3102.00,0.00,3102.00,8378.00,4159.00,3966.00,193.00,0.00,54867.00,40378.00,6732.00,6168.00,27478.00,14366.00,0.00,123.00,0.00,373182.00,117152.00,52537.00,10.82
1958:Q1,435584.00,399910.00,316191.00,146133.00,170058.00,42523.00,1806.00,40717.00,4524.00,36672.00,35674.00,19147.00,0.00,0.00,0.00,0.00,0.00,2702.00,0.00,2702.00,9617.00,4209.00,4013.00,195.00,0.00,56594.00,40840.00,6609.00,6382.00,27849.00,15629.00,0.00,125.00,0.00,378990.00,117159.00,51060.00,10.78
1958:Q2,440572.00,404331.00,319560.00,147046.00,172514.00,43012.00,1836.00,41176.00,4580.00,37179.00,36242.00,19705.00,0.00,0.00,0.00,0.00,0.00,2774.00,0.00,2774.00,9516.00,4247.00,4052.00,195.00,0.00,58116.00,42235.00,7098.00,6510.00,28626.00,15754.00,0.00,127.00,0.00,382457.00,117732.00,51517.00,11.04
1958:Q3,445169.00,408008.00,321477.00,147744.00,173733.00,43434.00,1907.00,41527.00,4598.00,38498.00,37161.00,20184.00,0.00,0.00,0.00,0.00,0.00,2808.00,0.00,2808.00,9874.00,4294.00,4089.00,205.00,0.00,59483.00,43311.00,7158.00,6552.00,29600.00,16043.00,0.00,129.00,0.00,385686.00,118195.00,51991.00,11.23
1958:Q4,447019.00,409861.00,323570.00,148808.00,174762.00,43680.00,1979.00,41701.00,4596.00,38015.00,37158.00,20335.00,0.00,0.00,0.00,0.00,0.00,3103.00,0.00,3103.00,9377.00,4343.00,4135.00,209.00,0.00,59751.00,44180.00,7288.00,6586.00,30306.00,15441.00,0.00,131.00,0.00,387268.00,118876.00,52408.00,11.41
1959:Q1,450086.00,412595.00,325793.00,149455.00,176338.00,44368.00,2105.00,42263.00,4577.00,37857.00,37491.00,20170.00,0.00,0.00,0.00,0.00,0.00,2836.00,0.00,2836.00,10079.00,4406.00,4193.00,213.00,0.00,61893.00,45645.00,7374.00,6926.00,31345.00,16115.00,0.00,133.00,0.00,388193.00,119501.00,52464.00,11.76
1959:Q2,452079.00,415400.00,328913.00,150431.00,178482.00,44839.00,2154.00,42685.00,4675.00,36974.00,36679.00,19678.00,0.00,0.00,0.00,0.00,0.00,2969.00,0.00,2969.00,9556.00,4476.00,4261.00,215.00,0.00,64283.00,48026.00,7986.00,7212.00,32829.00,16121.00,0.00,136.00,0.00,387796.00,120178.00,53118.00,12.38
1959:Q3,453548.00,417284.00,331781.00,151296.00,180485.00,45059.00,2174.00,42885.00,4810.00,35634.00,36264.00,19116.00,0.00,0.00,0.00,0.00,0.00,2944.00,0.00,2944.00,9648.00,4556.00,4329.00,227.00,0.00,66194.00,49616.00,8279.00,7222.00,34114.00,16439.00,0.00,139.00,0.00,387354.00,120722.00,53602.00,12.81
1959:Q4,454042.00,419026.00,334803.00,152257.00,182546.00,45093.00,2184.00,42909.00,4964.00,34165.00,35017.00,18737.00,0.00,0.00,0.00,0.00,0.00,3425.00,0.00,3425.00,8234.00,4621.00,4390.00,232.00,0.00,65423.00,50249.00,8343.00,7106.00,34800.00,15032.00,0.00,142.00,0.00,388619.00,121381.00,53980.00,12.93
1960:Q1,459547.00,423775.00,338812.00,155413.00,183399.00,45030.00,2207.00,42823.00,4997.00,34936.00,35772.00,18478.00,0.00,0.00,0.00,0.00,0.00,2864.00,0.00,2864.00,9755.00,4675.00,4438.00,237.00,0.00,68152.00,51424.00,8464.00,7322.00,35638.00,16586.00,0.00,143.00,0.00,391395.00,124148.00,54626.00,13.14
1960:Q2,461771.00,426737.00,342539.00,158425.00,184114.00,45086.00,2226.00,42860.00,5032.00,34080.00,35034.00,18284.00,0.00,0.00,0.00,0.00,0.00,3025.00,0.00,3025.00,9010.00,4715.00,4479.00,236.00,0.00,69575.00,53204.00,8850.00,7500.00,36854.00,16226.00,0.00,144.00,0.00,392196.00,126935.00,54722.00,13.57
1960:Q3,466208.00,431122.00,346094.00,161176.00,184918.00,45234.00,2244.00,42990.00,5088.00,34706.00,35086.00,18146.00,0.00,0.00,0.00,0.00,0.00,2927.00,0.00,2927.00,9246.00,4767.00,4519.00,248.00,0.00,70999.00,54375.00,8882.00,7511.00,37982.00,16479.00,0.00,145.00,0.00,395209.00,129243.00,54907.00,13.76
1960:Q4,469343.00,434725.00,349081.00,163600.00,185481.00,45490.00,2251.00,43239.00,5154.00,35000.00,34617.00,18044.00,0.00,0.00,0.00,0.00,0.00,3202.00,0.00,3202.00,8554.00,4818.00,4566.00,252.00,0.00,70786.00,55024.00,8858.00,7424.00,38742.00,15614.00,0.00,149.00,0.00,398556.00,131683.00,54858.00,13.81
1961:Q1,474909.00,439691.00,353483.00,166206.00,187277.00,45736.00,2261.00,43475.00,5222.00,35250.00,35218.00,18016.00,0.00,0.00,0.00,0.00,0.00,2594.00,0.00,2594.00,9731.00,4877.00,4620.00,257.00,0.00,73662.00,56904.00,8971.00,7709.00,40225.00,16606.00,0.00,151.00,0.00,401247.00,133878.00,55250.00,14.18
1961:Q2,480058.00,444871.00,359268.00,169858.00,189410.00,45762.00,2281.00,43481.00,5280.00,34561.00,35187.00,18064.00,0.00,0.00,0.00,0.00,0.00,2763.00,0.00,2763.00,9421.00,4938.00,4681.00,257.00,0.00,75106.00,58707.00,9214.00,7789.00,41704.00,16245.00,0.00,154.00,0.00,404952.00,137033.00,55851.00,14.50
1961:Q3,487119.00,451522.00,364646.00,173158.00,191488.00,45730.00,2296.00,43434.00,5378.00,35768.00,35597.00,18133.00,0.00,0.00,0.00,0.00,0.00,2798.00,0.00,2798.00,9655.00,5011.00,4739.00,272.00,0.00,76974.00,60612.00,9395.00,7892.00,43325.00,16205.00,0.00,157.00,0.00,410146.00,139756.00,56442.00,14.78
1961:Q4,492795.00,457537.00,370084.00,176327.00,193757.00,45402.00,2305.00,43097.00,5480.00,36571.00,35258.00,18162.00,0.00,0.00,0.00,0.00,0.00,3130.00,0.00,3130.00,8904.00,5062.00,4787.00,276.00,0.00,77013.00,61717.00,9459.00,7780.00,44478.00,15136.00,0.00,160.00,0.00,415782.00,142377.00,57239.00,14.84
1962:Q1,500300.00,464516.00,375802.00,179676.00,196126.00,45683.00,2314.00,43369.00,5500.00,37531.00,35783.00,18177.00,0.00,0.00,0.00,0.00,0.00,2777.00,0.00,2777.00,9724.00,5105.00,4824.00,281.00,0.00,79514.00,63516.00,9617.00,8104.00,45796.00,15837.00,0.00,161.00,0.00,420786.00,145518.00,58020.00,15.09
1962:Q2,505646.00,470243.00,381404.00,183126.00,198278.00,45870.00,2324.00,43546.00,5569.00,37400.00,35403.00,18186.00,0.00,0.00,0.00,0.00,0.00,3020.00,0.00,3020.00,9068.00,5129.00,4848.00,282.00,0.00,81680.00,65954.00,10147.00,8294.00,47513.00,15564.00,0.00,162.00,0.00,423966.00,148435.00,58800.00,15.56
1962:Q3,512407.00,476880.00,386444.00,186309.00,200135.00,46088.00,2330.00,43758.00,5626.00,38722.00,35527.00,18184.00,0.00,0.00,0.00,0.00,0.00,3019.00,0.00,3019.00,9153.00,5171.00,4874.00,297.00,0.00,83601.00,67699.00,10332.00,8307.00,49060.00,15739.00,0.00,163.00,0.00,428807.00,151307.00,59262.00,15.79
1962:Q4,517340.00,482180.00,391707.00,189298.00,202409.00,46186.00,2347.00,43839.00,5680.00,38607.00,35160.00,18163.00,0.00,0.00,0.00,0.00,0.00,3315.00,0.00,3315.00,8462.00,5220.00,4919.00,301.00,0.00,84489.00,69302.00,10573.00,8238.00,50491.00,15023.00,0.00,164.00,0.00,432851.00,154014.00,60108.00,16.01
1963:Q1,522001.00,486448.00,395830.00,190302.00,205528.00,46732.00,2366.00,44366.00,5707.00,38179.00,35553.00,18139.00,0.00,0.00,0.00,0.00,0.00,2966.00,0.00,2966.00,9149.00,5299.00,4993.00,306.00,0.00,86886.00,71203.00,10639.00,8728.00,51836.00,15518.00,0.00,165.00,0.00,435115.00,154649.00,61036.00,16.36
1963:Q2,524653.00,489287.00,398720.00,190720.00,208000.00,47180.00,2399.00,44781.00,5760.00,37628.00,35366.00,18088.00,0.00,0.00,0.00,0.00,0.00,3178.00,0.00,3178.00,8702.00,5398.00,5093.00,305.00,0.00,89247.00,74023.00,11221.00,8923.00,53879.00,15058.00,0.00,166.00,0.00,435407.00,154689.00,61735.00,17.00
1963:Q3,526135.00,490660.00,400427.00,189715.00,210712.00,47484.00,2433.00,45051.00,5842.00,36906.00,35475.00,18039.00,0.00,0.00,0.00,0.00,0.00,3224.00,0.00,3224.00,8697.00,5515.00,5191.00,324.00,0.00,90864.00,75981.00,11351.00,8960.00,55671.00,14715.00,0.00,168.00,0.00,435270.00,153590.00,62459.00,17.46
1963:Q4,530244.00,495127.00,405397.00,192067.00,213330.00,47574.00,2463.00,45111.00,5958.00,36198.00,35117.00,18018.00,0.00,0.00,0.00,0.00,0.00,3553.00,0.00,3553.00,7961.00,5586.00,5258.00,328.00,0.00,91777.00,77972.00,11731.00,9063.00,57179.00,13633.00,0.00,172.00,0.00,438467.00,155382.00,62975.00,17.78
1964:Q1,533720.00,498177.00,408364.00,192335.00,216029.00,48263.00,2492.00,45771.00,5993.00,35557.00,35543.00,18018.00,0.00,0.00,0.00,0.00,0.00,3266.00,0.00,3266.00,8574.00,5685.00,5352.00,333.00,0.00,94138.00,79809.00,11911.00,9501.00,58396.00,14155.00,0.00,174.00,0.00,439582.00,155542.00,63793.00,18.16
1964:Q2,542025.00,506334.00,416477.00,196657.00,219820.00,48917.00,2520.00,46397.00,6089.00,34851.00,35691.00,18047.00,0.00,0.00,0.00,0.00,0.00,3404.00,0.00,3404.00,8454.00,5786.00,5452.00,334.00,0.00,96989.00,82677.00,12393.00,9824.00,60460.00,14136.00,0.00,176.00,0.00,445036.00,159645.00,65289.00,18.58
1964:Q3,548373.00,512278.00,421549.00,198911.00,222638.00,49337.00,2554.00,46783.00,6158.00,35234.00,36096.00,18087.00,0.00,0.00,0.00,0.00,0.00,3437.00,0.00,3437.00,8661.00,5911.00,5556.00,355.00,0.00,99054.00,84749.00,12529.00,9890.00,62330.00,14127.00,0.00,178.00,0.00,449319.00,161689.00,65991.00,18.86
1964:Q4,557678.00,521653.00,430762.00,204221.00,226541.00,49569.00,2582.00,46987.00,6186.00,35137.00,36024.00,18119.00,0.00,0.00,0.00,0.00,0.00,3779.00,0.00,3779.00,8106.00,6020.00,5658.00,362.00,0.00,99525.00,86267.00,12477.00,9904.00,63886.00,13078.00,0.00,180.00,0.00,458152.00,166763.00,67620.00,18.83
1965:Q1,565770.00,529376.00,436138.00,205505.00,230633.00,50621.00,2620.00,48001.00,6298.00,36319.00,36394.00,18145.00,0.00,0.00,0.00,0.00,0.00,3495.00,0.00,3495.00,8627.00,6127.00,5756.00,371.00,0.00,102218.00,88376.00,12968.00,10320.00,65087.00,13660.00,0.00,182.00,0.00,463552.00,167811.00,68785.00,19.06
