1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q2,4681.00,36.00,0.00,0.00,0.00,1772.00,0.00,68.00,76.00,-100.00,1728.00,464.00,148.00,0.00,2261.00,2261.00,0.00,4680.00
1961:Q3,4801.00,36.00,0.00,0.00,0.00,1672.00,0.00,-28.00,76.00,-176.00,1800.00,452.00,160.00,0.00,2481.00,2481.00,0.00,4800.00
1961:Q4,4829.00,32.00,0.00,0.00,0.00,1332.00,0.00,-260.00,76.00,-268.00,1784.00,412.00,172.00,0.00,2881.00,2881.00,0.00,4828.00
1962:Q1,4729.00,32.00,0.00,0.00,0.00,2576.00,0.00,900.00,216.00,-352.00,1812.00,376.00,184.00,0.00,1561.00,1561.00,0.00,4728.00
1962:Q2,4797.00,36.00,0.00,0.00,0.00,1672.00,0.00,200.00,72.00,-468.00,1868.00,336.00,196.00,0.00,2557.00,2557.00,0.00,4796.00
1962:Q3,4909.00,32.00,0.00,0.00,0.00,1692.00,0.00,200.00,148.00,-512.00,1856.00,324.00,204.00,0.00,2657.00,2657.00,0.00,4908.00
1962:Q4,5009.00,20.00,0.00,0.00,0.00,1192.00,0.00,-100.00,60.00,-504.00,1736.00,348.00,204.00,0.00,3245.00,3245.00,0.00,5008.00
1963:Q1,5023.00,16.00,0.00,0.00,0.00,1668.00,0.00,400.00,-32.00,-488.00,1788.00,356.00,200.00,0.00,2783.00,2783.00,0.00,5024.00
1963:Q2,5203.00,8.00,0.00,0.00,0.00,2524.00,0.00,1100.00,-24.00,-516.00,1964.00,356.00,196.00,0.00,2119.00,2119.00,0.00,5204.00
1963:Q3,5375.00,4.00,0.00,0.00,0.00,1900.00,0.00,300.00,-120.00,-508.00,2228.00,368.00,208.00,0.00,2895.00,2895.00,0.00,5376.00
1963:Q4,5475.00,-4.00,0.00,0.00,0.00,1808.00,0.00,-160.00,-16.00,-488.00,2472.00,400.00,232.00,0.00,3039.00,3039.00,0.00,5476.00
1964:Q1,5508.00,0.00,0.00,0.00,0.00,2864.00,0.00,860.00,-24.00,-440.00,2468.00,416.00,248.00,0.00,1980.00,1980.00,0.00,5508.00
