1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q3,230.00,59.00,1576.00,0.00,0.00,208.00,0.00,4.00,204.00,0.00,0.00,1768.00,0.00,72.00,1696.00,0.00,-400.00,1344.00,-1496.00,2900.00,4.00,2896.00,0.00,0.00,0.00,-60.00,-61.00
1971:Q4,246.00,61.00,2476.00,0.00,0.00,356.00,0.00,-12.00,368.00,0.00,0.00,2196.00,0.00,100.00,2096.00,0.00,-76.00,2264.00,-1000.00,3344.00,8.00,3336.00,0.00,0.00,0.00,-80.00,-27.00
1972:Q1,264.00,58.00,3052.00,0.00,0.00,420.00,0.00,-40.00,460.00,0.00,0.00,2656.00,0.00,32.00,2624.00,0.00,-24.00,2832.00,416.00,2480.00,8.00,2472.00,0.00,0.00,0.00,-64.00,-14.00
1972:Q2,280.00,60.00,3556.00,0.00,0.00,560.00,0.00,-84.00,644.00,0.00,0.00,2780.00,0.00,-40.00,2820.00,0.00,216.00,3316.00,1260.00,2120.00,8.00,2112.00,0.00,0.00,0.00,-64.00,-20.00
1972:Q3,291.00,61.00,1064.00,0.00,0.00,556.00,0.00,-64.00,620.00,0.00,0.00,988.00,0.00,492.00,496.00,0.00,-480.00,776.00,-3456.00,4344.00,4.00,4340.00,0.00,0.00,0.00,-112.00,-58.00
1972:Q4,308.00,65.00,3520.00,0.00,0.00,548.00,0.00,4.00,544.00,0.00,0.00,2964.00,0.00,128.00,2836.00,0.00,8.00,3260.00,-832.00,4128.00,8.00,4120.00,0.00,0.00,0.00,-36.00,-17.00
1973:Q1,310.00,83.00,4440.00,0.00,0.00,476.00,0.00,492.00,-16.00,0.00,0.00,4028.00,0.00,536.00,3492.00,0.00,-64.00,4320.00,1176.00,3084.00,12.00,3072.00,0.00,0.00,0.00,60.00,107.00
1973:Q2,327.00,88.00,3564.00,0.00,0.00,512.00,0.00,196.00,316.00,0.00,0.00,2864.00,0.00,172.00,2692.00,0.00,188.00,3436.00,40.00,3344.00,12.00,3332.00,0.00,0.00,0.00,52.00,111.00
1973:Q3,337.00,91.00,2748.00,0.00,0.00,456.00,0.00,200.00,256.00,0.00,0.00,2752.00,0.00,752.00,2000.00,0.00,-460.00,2524.00,-80.00,2588.00,0.00,2588.00,0.00,0.00,0.00,16.00,22.00
1973:Q4,355.00,93.00,3340.00,0.00,0.00,464.00,0.00,148.00,316.00,0.00,0.00,2796.00,0.00,304.00,2492.00,0.00,80.00,3152.00,496.00,2528.00,4.00,2524.00,0.00,0.00,0.00,128.00,74.00
1974:Q1,369.00,112.00,2076.00,0.00,0.00,356.00,0.00,84.00,272.00,0.00,0.00,1824.00,0.00,68.00,1756.00,0.00,-104.00,2164.00,-780.00,2636.00,8.00,2628.00,0.00,0.00,0.00,308.00,345.00
1974:Q2,387.00,114.00,2080.00,0.00,0.00,260.00,0.00,16.00,244.00,0.00,0.00,1660.00,0.00,-312.00,1972.00,0.00,160.00,2172.00,-1108.00,2960.00,12.00,2948.00,0.00,0.00,0.00,320.00,365.00
1974:Q3,385.00,117.00,3532.00,0.00,0.00,316.00,0.00,36.00,280.00,0.00,0.00,3612.00,0.00,328.00,3284.00,0.00,-396.00,3540.00,684.00,2560.00,0.00,2560.00,0.00,0.00,0.00,296.00,276.00
1974:Q4,368.00,120.00,2932.00,0.00,0.00,620.00,0.00,148.00,472.00,0.00,0.00,2240.00,0.00,204.00,2036.00,0.00,72.00,3000.00,-1256.00,3868.00,8.00,3860.00,0.00,0.00,0.00,388.00,316.00
1975:Q1,322.00,132.00,3580.00,0.00,0.00,900.00,0.00,256.00,644.00,0.00,0.00,2892.00,0.00,364.00,2528.00,0.00,-212.00,3400.00,-1904.00,5376.00,16.00,5360.00,0.00,0.00,0.00,-72.00,10.00
1975:Q2,300.00,132.00,3276.00,0.00,0.00,1248.00,0.00,368.00,880.00,0.00,0.00,1988.00,0.00,104.00,1884.00,0.00,40.00,3084.00,-2580.00,5780.00,16.00,5764.00,0.00,0.00,0.00,-116.00,-24.00
1975:Q3,308.00,134.00,7568.00,0.00,0.00,1260.00,0.00,384.00,876.00,0.00,0.00,6668.00,0.00,1000.00,5668.00,0.00,-360.00,7280.00,2376.00,5064.00,8.00,5056.00,0.00,0.00,0.00,-160.00,-114.00
