1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q2,9141.00,9141.00,9141.00,12668.00,13472.00,-804.00,-3527.00,-916.00,276.00,0.00,0.00,0.00,0.00,0.00,472.00,0.00,472.00,-1916.00,252.00,244.00,8.00,0.00,2611.00,5505.00,1616.00,317.00,3572.00,1716.00,0.00,8.00,0.00,-4618.00
1955:Q3,9278.00,9278.00,9278.00,13011.00,14019.00,-1008.00,-3733.00,676.00,264.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,-24.00,180.00,256.00,240.00,16.00,0.00,4409.00,4843.00,1388.00,611.00,2844.00,2160.00,0.00,8.00,0.00,-2602.00
1955:Q4,9449.00,9449.00,9449.00,14411.00,13764.00,647.00,-4962.00,-760.00,272.00,0.00,0.00,0.00,0.00,0.00,1168.00,0.00,1168.00,-2456.00,256.00,240.00,16.00,0.00,4202.00,2645.00,1016.00,513.00,1116.00,-1924.00,0.00,12.00,0.00,3469.00
1956:Q1,9655.00,9655.00,9655.00,13700.00,13397.00,303.00,-4045.00,3280.00,148.00,0.00,0.00,0.00,0.00,0.00,-1096.00,0.00,-1096.00,4020.00,208.00,196.00,12.00,0.00,7325.00,2378.00,380.00,-42.00,2040.00,4188.00,0.00,8.00,0.00,751.00
1956:Q2,9840.00,9840.00,9840.00,11792.00,12959.00,-1167.00,-1952.00,1000.00,76.00,0.00,0.00,0.00,0.00,0.00,404.00,0.00,404.00,324.00,196.00,180.00,16.00,0.00,2952.00,4394.00,780.00,166.00,3448.00,992.00,0.00,8.00,0.00,-2442.00
1956:Q3,10003.00,10003.00,10003.00,12305.00,12819.00,-514.00,-2302.00,2420.00,140.00,0.00,0.00,0.00,0.00,0.00,160.00,0.00,160.00,1924.00,196.00,184.00,12.00,0.00,4722.00,4110.00,1268.00,318.00,2524.00,2004.00,0.00,8.00,0.00,-1400.00
1956:Q4,10141.00,10141.00,10141.00,11300.00,12693.00,-1393.00,-1159.00,4.00,320.00,0.00,0.00,0.00,0.00,0.00,1156.00,0.00,1156.00,-1692.00,220.00,208.00,12.00,0.00,1163.00,1483.00,-256.00,995.00,744.00,-3492.00,0.00,8.00,0.00,3164.00
1957:Q1,10262.00,10262.00,10262.00,13412.00,13067.00,345.00,-3150.00,2968.00,480.00,0.00,0.00,0.00,0.00,0.00,-1252.00,0.00,-1252.00,3504.00,236.00,220.00,16.00,0.00,6118.00,1169.00,-12.00,309.00,872.00,3832.00,0.00,4.00,0.00,1114.00
1957:Q2,10383.00,10383.00,10383.00,13605.00,12865.00,740.00,-3222.00,-1768.00,556.00,0.00,0.00,0.00,0.00,0.00,484.00,0.00,484.00,-3072.00,264.00,236.00,28.00,0.00,1454.00,2795.00,344.00,-165.00,2616.00,-1312.00,0.00,4.00,0.00,-33.00
1957:Q3,10508.00,10508.00,10508.00,13899.00,13299.00,600.00,-3391.00,196.00,708.00,0.00,0.00,0.00,0.00,0.00,-104.00,0.00,-104.00,-648.00,240.00,232.00,8.00,0.00,3587.00,3177.00,216.00,393.00,2568.00,324.00,0.00,4.00,0.00,82.00
