date,FA152090205.Q,FA112090205.Q,FA662090205.Q
1945:Q4,ND,ND,ND
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,571.00,571.00,0.00
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,88.00,88.00,0.00
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,4820.00,4820.00,0.00
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,1412.00,1412.00,0.00
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,2103.00,2103.00,0.00
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1971:Q1,5919.00,5919.00,0.00
1971:Q2,120.00,120.00,0.00
1971:Q3,4604.00,4604.00,0.00
1971:Q4,-3421.00,-3421.00,0.00
1972:Q1,3870.00,3870.00,0.00
1972:Q2,-9139.00,-9139.00,0.00
1972:Q3,-959.00,-959.00,0.00
1972:Q4,-13523.00,-13523.00,0.00
1973:Q1,-8466.00,-9202.00,736.00
1973:Q2,2823.00,2151.00,672.00
1973:Q3,19189.00,18525.00,664.00
1973:Q4,26698.00,25942.00,756.00
1974:Q1,-19629.00,-20393.00,764.00
1974:Q2,-27111.00,-27927.00,816.00
1974:Q3,-32794.00,-33598.00,804.00
1974:Q4,-28359.00,-29147.00,788.00
1975:Q1,-13955.00,-14591.00,636.00
1975:Q2,-15868.00,-16376.00,508.00
1975:Q3,-10147.00,-10703.00,556.00
1975:Q4,-8498.00,-9318.00,820.00
1976:Q1,-22550.00,-21834.00,-716.00
1976:Q2,-11858.00,-12642.00,784.00
1976:Q3,-8628.00,-9092.00,464.00
1976:Q4,-7877.00,-9041.00,1164.00
1977:Q1,-29464.00,-29356.00,-108.00
1977:Q2,-9140.00,-10056.00,916.00
1977:Q3,-1410.00,-1578.00,168.00
1977:Q4,8365.00,8765.00,-400.00
1978:Q1,-13529.00,-14273.00,744.00
1978:Q2,-18309.00,-18649.00,340.00
1978:Q3,-12049.00,-12681.00,632.00
1978:Q4,-13805.00,-13569.00,-236.00
1979:Q1,-7229.00,-7957.00,728.00
1979:Q2,-39987.00,-41363.00,1376.00
1979:Q3,-29098.00,-30162.00,1064.00
1979:Q4,-35016.00,-35920.00,904.00
1980:Q1,-52255.00,-52559.00,304.00
1980:Q2,-52935.00,-54311.00,1376.00
1980:Q3,-52484.00,-51780.00,-704.00
1980:Q4,-17372.00,-18684.00,1312.00
1981:Q1,-2447.00,-3219.00,772.00
1981:Q2,9678.00,9078.00,600.00
1981:Q3,20256.00,20832.00,-576.00
1981:Q4,5154.00,5694.00,-540.00
1982:Q1,-44559.00,-44667.00,108.00
1982:Q2,-68945.00,-69265.00,320.00
1982:Q3,-66126.00,-66502.00,376.00
1982:Q4,-51673.00,-52817.00,1144.00
1983:Q1,-51769.00,-51929.00,160.00
1983:Q2,-50164.00,-50464.00,300.00
1983:Q3,-63083.00,-63023.00,-60.00
1983:Q4,-43310.00,-44238.00,928.00
1984:Q1,-33292.00,-33468.00,176.00
1984:Q2,-69235.00,-67887.00,-1348.00
1984:Q3,-73717.00,-75033.00,1316.00
1984:Q4,-67890.00,-67694.00,-196.00
1985:Q1,-49690.00,-50386.00,696.00
1985:Q2,-53574.00,-53950.00,376.00
1985:Q3,-34083.00,-35227.00,1144.00
1985:Q4,59460.00,61188.00,-1728.00
1986:Q1,-21618.00,-22330.00,712.00
1986:Q2,6941.00,4681.00,2260.00
1986:Q3,1814.00,870.00,944.00
1986:Q4,-21225.00,-22089.00,864.00
1987:Q1,-42367.00,-40951.00,-1416.00
1987:Q2,-24860.00,-23208.00,-1652.00
1987:Q3,-24266.00,-23850.00,-416.00
1987:Q4,-21895.00,-22103.00,208.00
1988:Q1,-35746.00,-36578.00,832.00
1988:Q2,-9759.00,-11251.00,1492.00
1988:Q3,-36333.00,-35601.00,-732.00
1988:Q4,-51896.00,-50688.00,-1208.00
1989:Q1,-21767.00,-21995.00,228.00
1989:Q2,-30760.00,-27388.00,-3372.00
1989:Q3,-45978.00,-45902.00,-76.00
1989:Q4,-46247.00,-42527.00,-3720.00
1990:Q1,3883.00,3859.00,24.00
1990:Q2,28895.00,30147.00,-1252.00
1990:Q3,34081.00,34057.00,24.00
1990:Q4,14767.00,16323.00,-1556.00
1991:Q1,368.00,144.00,224.00
1991:Q2,29351.00,28847.00,504.00
1991:Q3,49494.00,48234.00,1260.00
1991:Q4,30069.00,30225.00,-156.00
1992:Q1,18893.00,19177.00,-284.00
1992:Q2,46680.00,47312.00,-632.00
1992:Q3,52388.00,50592.00,1796.00
1992:Q4,784.00,1280.00,-496.00
1993:Q1,51784.00,48064.00,3720.00
1993:Q2,48442.00,49814.00,-1372.00
1993:Q3,44364.00,41772.00,2592.00
1993:Q4,38061.00,39421.00,-1360.00
1994:Q1,26308.00,26360.00,-52.00
1994:Q2,83561.00,85725.00,-2164.00
1994:Q3,42616.00,42712.00,-96.00
1994:Q4,23574.00,25722.00,-2148.00
1995:Q1,29785.00,29673.00,112.00
1995:Q2,35536.00,37364.00,-1828.00
1995:Q3,11918.00,9702.00,2216.00
1995:Q4,-1758.00,782.00,-2540.00
1996:Q1,-27292.00,-28660.00,1368.00
1996:Q2,26637.00,27833.00,-1196.00
1996:Q3,1098.00,-166.00,1264.00
1996:Q4,-12392.00,-12180.00,-212.00
1997:Q1,-37949.00,-41693.00,3744.00
1997:Q2,-14421.00,-14869.00,448.00
1997:Q3,-23240.00,-24952.00,1712.00
1997:Q4,-944.00,624.00,-1568.00
1998:Q1,-48382.00,-46338.00,-2044.00
1998:Q2,-43242.00,-41550.00,-1692.00
1998:Q3,-7837.00,-12253.00,4416.00
1998:Q4,-48830.00,-42466.00,-6364.00
1999:Q1,-38799.00,-37579.00,-1220.00
1999:Q2,-72067.00,-71083.00,-984.00
1999:Q3,-70559.00,-74667.00,4108.00
1999:Q4,-90418.00,-93510.00,3092.00
2000:Q1,-33359.00,-32847.00,-512.00
2000:Q2,-19194.00,-22670.00,3476.00
2000:Q3,18090.00,21418.00,-3328.00
2000:Q4,-43483.00,-43099.00,-384.00
2001:Q1,21573.00,8597.00,12976.00
2001:Q2,-15312.00,-18828.00,3516.00
2001:Q3,-18978.00,-28806.00,9828.00
2001:Q4,-67035.00,-27587.00,-39448.00
2002:Q1,-71742.00,-63474.00,-8268.00
2002:Q2,-74233.00,-83545.00,9312.00
2002:Q3,-69045.00,-78845.00,9800.00
2002:Q4,-70465.00,-62157.00,-8308.00
2003:Q1,51393.00,51677.00,-284.00
2003:Q2,52525.00,57405.00,-4880.00
2003:Q3,58872.00,60740.00,-1868.00
2003:Q4,53166.00,59710.00,-6544.00
2004:Q1,36573.00,44497.00,-7924.00
2004:Q2,103928.00,105280.00,-1352.00
2004:Q3,73768.00,70564.00,3204.00
2004:Q4,67533.00,78117.00,-10584.00
2005:Q1,-12371.00,-14799.00,2428.00
2005:Q2,-38242.00,-37458.00,-784.00
2005:Q3,-96435.00,-91623.00,-4812.00
2005:Q4,-64281.00,-62581.00,-1700.00
2006:Q1,17101.00,18073.00,-972.00
2006:Q2,399.00,1079.00,-680.00
2006:Q3,-2834.00,494.00,-3328.00
2006:Q4,-36659.00,-14375.00,-22284.00
2007:Q1,-42947.00,-50271.00,7324.00
2007:Q2,-44068.00,-38412.00,-5656.00
2007:Q3,-45644.00,-45028.00,-616.00
2007:Q4,-54083.00,-67367.00,13284.00
2008:Q1,-344164.00,-352504.00,8340.00
2008:Q2,-310940.00,-306900.00,-4040.00
2008:Q3,-306755.00,-312467.00,5712.00
2008:Q4,-262488.00,-298892.00,36404.00
2009:Q1,-116946.00,-140210.00,23264.00
2009:Q2,-112698.00,-90762.00,-21936.00
2009:Q3,-112827.00,-104211.00,-8616.00
2009:Q4,-87948.00,-97480.00,9532.00
2010:Q1,181491.00,181599.00,-108.00
2010:Q2,166959.00,161075.00,5884.00
2010:Q3,156029.00,159229.00,-3200.00
2010:Q4,164514.00,163578.00,936.00
2011:Q1,216706.00,230030.00,-13324.00
2011:Q2,225667.00,227147.00,-1480.00
2011:Q3,235885.00,231445.00,4440.00
2011:Q4,247809.00,248897.00,-1088.00
2012:Q1,126050.00,97250.00,28800.00
2012:Q2,90626.00,85798.00,4828.00
2012:Q3,79561.00,84369.00,-4808.00
2012:Q4,63478.00,65490.00,-2012.00
2013:Q1,176471.00,181723.00,-5252.00
2013:Q2,177494.00,176850.00,644.00
2013:Q3,176554.00,193746.00,-17192.00
2013:Q4,195689.00,194677.00,1012.00
2014:Q1,40005.00,36117.00,3888.00
2014:Q2,21720.00,23040.00,-1320.00
2014:Q3,25229.00,18337.00,6892.00
2014:Q4,24769.00,26041.00,-1272.00
2015:Q1,43898.00,45146.00,-1248.00
2015:Q2,39204.00,41160.00,-1956.00
2015:Q3,82287.00,58107.00,24180.00
2015:Q4,40454.00,52154.00,-11700.00
2016:Q1,89541.00,97393.00,-7852.00
2016:Q2,116395.00,119631.00,-3236.00
