1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,83857.00,2100.00,55638.00,16121.00,2679.00,6139.00,270.00,910.00,92921.00,75575.00,9556.00,1687.00,3686.00,1683.00,0.00,734.00,-9064.00
1959:Q3,84801.00,2150.00,55986.00,16439.00,2669.00,6363.00,280.00,914.00,95061.00,77484.00,9648.00,1702.00,3748.00,1731.00,0.00,748.00,-10260.00
1959:Q4,87201.00,2200.00,59241.00,15032.00,2903.00,6581.00,280.00,964.00,93770.00,77386.00,8234.00,1722.00,3875.00,1782.00,0.00,771.00,-6569.00
1960:Q1,88672.00,2240.00,58681.00,16586.00,3108.00,6803.00,290.00,964.00,98261.00,79948.00,9755.00,1822.00,3961.00,1830.00,0.00,945.00,-9589.00
1960:Q2,89532.00,2290.00,59596.00,16226.00,2997.00,7033.00,290.00,1100.00,97987.00,80465.00,9010.00,1771.00,4022.00,1872.00,0.00,847.00,-8455.00
1960:Q3,91080.00,2270.00,60583.00,16479.00,3078.00,7266.00,290.00,1114.00,101186.00,83319.00,9246.00,1761.00,4112.00,1907.00,0.00,841.00,-10106.00
1960:Q4,92889.00,2310.00,62090.00,15614.00,3359.00,7501.00,290.00,1725.00,99702.00,82311.00,8554.00,1790.00,4214.00,1934.00,0.00,899.00,-6813.00
1961:Q1,92299.00,2310.00,60425.00,16606.00,3444.00,7749.00,300.00,1465.00,101870.00,83213.00,9731.00,1792.00,4211.00,1954.00,0.00,969.00,-9571.00
1961:Q2,93705.00,2410.00,61899.00,16245.00,3211.00,7992.00,300.00,1648.00,104252.00,85820.00,9421.00,1749.00,4293.00,1969.00,0.00,1000.00,-10547.00
1961:Q3,95893.00,2440.00,63546.00,16205.00,3365.00,8237.00,300.00,1800.00,108237.00,89372.00,9655.00,1798.00,4413.00,1981.00,0.00,1018.00,-12344.00
1961:Q4,97726.00,2500.00,65845.00,15136.00,3618.00,8496.00,300.00,1831.00,106632.00,88253.00,8904.00,1776.00,4521.00,1993.00,0.00,1185.00,-8906.00
1962:Q1,97427.00,2550.00,64481.00,15837.00,3410.00,8754.00,310.00,2085.00,108589.00,89326.00,9724.00,1780.00,4529.00,2035.00,0.00,1195.00,-11162.00
1962:Q2,98191.00,2580.00,65221.00,15564.00,3465.00,9012.00,310.00,2039.00,109152.00,90553.00,9068.00,1821.00,4587.00,2093.00,0.00,1030.00,-10961.00
1962:Q3,101553.00,2600.00,67725.00,15739.00,3634.00,9276.00,320.00,2259.00,113525.00,94489.00,9153.00,1886.00,4766.00,2153.00,0.00,1078.00,-11972.00
