date,FA153050005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA153050005.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6555.00,400.00,1380.00,3892.00,883.00,6555.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,6558.00,500.00,1517.00,3435.00,1106.00,6558.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,6948.00,600.00,1364.00,3633.00,1351.00,6948.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q3,31692.00,1992.00,10116.00,13780.00,5804.00,31692.00,ND,ND,ND,ND,ND,ND,ND
1964:Q4,32920.00,2008.00,10944.00,14000.00,5968.00,32920.00,ND,ND,ND,ND,ND,ND,ND
1965:Q1,33644.00,2348.00,11364.00,13920.00,6012.00,33644.00,ND,ND,ND,ND,ND,ND,ND
1965:Q2,34312.00,2016.00,11704.00,14328.00,6264.00,34312.00,ND,ND,ND,ND,ND,ND,ND
1965:Q3,36176.00,1908.00,12980.00,14772.00,6516.00,36176.00,ND,ND,ND,ND,ND,ND,ND
1965:Q4,38516.00,2028.00,14704.00,15092.00,6692.00,38516.00,ND,ND,ND,ND,ND,ND,ND
1966:Q1,39944.00,2084.00,16080.00,15084.00,6696.00,39944.00,ND,ND,ND,ND,ND,ND,ND
1966:Q2,41008.00,2084.00,16452.00,15576.00,6896.00,41008.00,ND,ND,ND,ND,ND,ND,ND
1966:Q3,42108.00,2100.00,16868.00,16068.00,7072.00,42108.00,ND,ND,ND,ND,ND,ND,ND
1966:Q4,43348.00,2132.00,17684.00,16376.00,7156.00,43348.00,ND,ND,ND,ND,ND,ND,ND
1967:Q1,42936.00,1264.00,18252.00,16312.00,7108.00,42936.00,ND,ND,ND,ND,ND,ND,ND
1967:Q2,44316.00,1424.00,18732.00,16800.00,7360.00,44316.00,ND,ND,ND,ND,ND,ND,ND
1967:Q3,46232.00,1496.00,19704.00,17308.00,7724.00,46232.00,ND,ND,ND,ND,ND,ND,ND
1967:Q4,47404.00,1800.00,19840.00,17652.00,8112.00,47404.00,ND,ND,ND,ND,ND,ND,ND
1968:Q1,48468.00,2236.00,19972.00,17792.00,8468.00,48468.00,ND,ND,ND,ND,ND,ND,ND
1968:Q2,50388.00,2296.00,21068.00,18096.00,8928.00,50388.00,ND,ND,ND,ND,ND,ND,ND
1968:Q3,52856.00,1532.00,23288.00,18572.00,9464.00,52856.00,ND,ND,ND,ND,ND,ND,ND
1968:Q4,57468.00,3140.00,25612.00,18864.00,9852.00,57468.00,ND,ND,ND,ND,ND,ND,ND
1969:Q1,58180.00,2668.00,26688.00,18848.00,9976.00,58180.00,ND,ND,ND,ND,ND,ND,ND
1969:Q2,61440.00,3068.00,28300.00,19684.00,10388.00,61440.00,ND,ND,ND,ND,ND,ND,ND
1969:Q3,64316.00,3116.00,29548.00,20876.00,10776.00,64316.00,ND,ND,ND,ND,ND,ND,ND
1969:Q4,66196.00,3628.00,29364.00,22168.00,11036.00,66196.00,ND,ND,ND,ND,ND,ND,ND
