1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q2,8927953.00,7184.00,46790.00,272843.00,178905.00,22226.00,578979.00,4101882.00,149991.00,1785766.00,321065.00,1464701.00,698595.00,24000.00,1443530.00,119412.00,1769673.00,138607.00,49698.00,1641754.00,4908885.00,71608.00,1054727.00,278795.00,1046938.00,292628.00,754310.00,131814.00,91526.00,40288.00,34587.00,2215269.00,75147.00,41384.00,2627.00,31136.00,2161543.00
2004:Q3,9133636.00,7197.00,20432.00,276416.00,182787.00,22550.00,639788.00,4259676.00,139550.00,1834957.00,335429.00,1499528.00,729813.00,25000.00,1530356.00,121717.00,1738936.00,137169.00,49517.00,1677451.00,5047905.00,71535.00,1053883.00,338775.00,1092769.00,291908.00,800861.00,129461.00,90476.00,38985.00,31904.00,2273264.00,56314.00,42233.00,2627.00,11454.00,2212356.00
2004:Q4,9699061.00,7609.00,47290.00,285286.00,202933.00,22874.00,663661.00,4449618.00,137746.00,1813553.00,323668.00,1489885.00,861677.00,26000.00,1610642.00,131240.00,1952173.00,148212.00,45449.00,1742716.00,5474929.00,75533.00,1142212.00,388102.00,1153910.00,345342.00,808568.00,131291.00,93127.00,38164.00,32715.00,2498494.00,52672.00,42522.00,2627.00,7523.00,2560418.00
2005:Q1,9904743.00,7402.00,39034.00,285292.00,216557.00,23198.00,669719.00,4605732.00,137925.00,1908080.00,314895.00,1593185.00,865218.00,27000.00,1667509.00,148178.00,1933352.00,145638.00,48810.00,1781831.00,5658089.00,67901.00,1233545.00,387049.00,1171067.00,346188.00,824879.00,133856.00,98646.00,35210.00,32523.00,2561802.00,70346.00,42885.00,2627.00,24834.00,2649905.00
2005:Q2,10142849.00,7137.00,43243.00,288794.00,219008.00,23522.00,686781.00,4760275.00,145716.00,1918848.00,283765.00,1635083.00,920452.00,28000.00,1747259.00,162022.00,1972261.00,148098.00,55381.00,1776327.00,5735166.00,65553.00,1185684.00,439276.00,1203325.00,348149.00,855176.00,127889.00,94048.00,33841.00,33051.00,2605684.00,74704.00,43240.00,2627.00,28837.00,2704402.00
2005:Q3,10514016.00,7102.00,34866.00,292819.00,224736.00,23240.00,734708.00,4941924.00,151449.00,1962575.00,259377.00,1703198.00,959218.00,28500.00,1840182.00,164119.00,2062442.00,157290.00,54969.00,1815801.00,5764861.00,60232.00,1206169.00,438848.00,1223805.00,369103.00,854702.00,131248.00,99141.00,32107.00,31508.00,2602572.00,70479.00,43534.00,2627.00,24318.00,3078670.00
2005:Q4,10678102.00,7003.00,36693.00,300149.00,223224.00,22958.00,705020.00,4980153.00,156813.00,1984391.00,264728.00,1719663.00,1006143.00,29000.00,1803806.00,162541.00,2117753.00,163302.00,53327.00,1905979.00,5709707.00,53868.00,1165469.00,380987.00,1208753.00,383952.00,824801.00,141794.00,110444.00,31350.00,33556.00,2651721.00,73559.00,43786.00,2627.00,27146.00,3317705.00
2006:Q1,11266056.00,7059.00,20417.00,299198.00,220482.00,22675.00,992461.00,5094308.00,158570.00,1994177.00,283078.00,1711099.00,1043217.00,29500.00,1868844.00,159146.00,2256912.00,175405.00,57500.00,1960493.00,6070512.00,54072.00,1234576.00,520375.00,1251733.00,405250.00,846483.00,139175.00,110183.00,28992.00,35706.00,2752370.00,82505.00,45088.00,2627.00,34790.00,3682411.00
2006:Q2,11535161.00,7248.00,6468.00,302134.00,237194.00,22393.00,978454.00,5302645.00,194266.00,1980211.00,253270.00,1726941.00,1129109.00,30000.00,1969059.00,174004.00,2233733.00,175043.00,61781.00,2034064.00,6325716.00,56622.00,1332161.00,512961.00,1326110.00,385022.00,941088.00,146769.00,119715.00,27054.00,36914.00,2813890.00,100289.00,45250.00,2627.00,52412.00,3673580.00
2006:Q3,12196539.00,7234.00,7064.00,300832.00,243144.00,24706.00,1043203.00,5681259.00,217183.00,2056542.00,244681.00,1811861.00,1200491.00,32182.00,2174861.00,158862.00,2387389.00,187689.00,60718.00,2094439.00,6601244.00,54917.00,1348809.00,549831.00,1445833.00,476338.00,969495.00,142952.00,117859.00,25093.00,35960.00,2911103.00,111839.00,45586.00,2627.00,63626.00,3828619.00
2006:Q4,12803199.00,7371.00,41969.00,311562.00,257203.00,27019.00,1025754.00,5985418.00,213311.00,2126178.00,253331.00,1872847.00,1258233.00,34364.00,2353332.00,168780.00,2558411.00,206463.00,59187.00,2154062.00,6727928.00,54586.00,1346130.00,566900.00,1506604.00,482321.00,1024283.00,151285.00,127365.00,23920.00,37386.00,2948172.00,116865.00,45810.00,2627.00,68428.00,4328960.00
2007:Q1,13300944.00,7399.00,-77488.00,306732.00,269109.00,29331.00,1176427.00,6347928.00,228346.00,2221996.00,279615.00,1942381.00,1323907.00,36546.00,2537133.00,173410.00,2600690.00,218776.00,61739.00,2186891.00,7168058.00,55233.00,1386778.00,639334.00,1589550.00,476568.00,1112982.00,131615.00,108421.00,23194.00,38152.00,3204390.00,123006.00,46094.00,2627.00,74285.00,4536363.00
2007:Q2,14020883.00,7426.00,-32945.00,309244.00,287178.00,31644.00,1215445.00,6567565.00,243322.00,2193645.00,228764.00,1964881.00,1423765.00,38728.00,2668105.00,193712.00,2861097.00,236782.00,72941.00,2270794.00,7611083.00,54764.00,1528188.00,696275.00,1696741.00,473982.00,1222759.00,142105.00,119439.00,22666.00,43437.00,3310876.00,138697.00,47278.00,2627.00,88792.00,4958299.00
2007:Q3,14382903.00,7627.00,25104.00,306995.00,285038.00,38810.00,1144625.00,6722850.00,223688.00,2248372.00,262209.00,1986163.00,1506844.00,41896.00,2702050.00,247947.00,2943882.00,239536.00,77830.00,2342659.00,7992192.00,57713.00,1625841.00,709082.00,1796865.00,426200.00,1370665.00,151405.00,129518.00,21887.00,43693.00,3448699.00,158894.00,47368.00,2627.00,108899.00,5262469.00
2007:Q4,14571933.00,7742.00,-67542.00,306127.00,298935.00,45976.00,1098380.00,6999605.00,226258.00,2376442.00,302698.00,2073744.00,1576815.00,45064.00,2775026.00,271078.00,2953999.00,231676.00,80034.00,2345923.00,8159283.00,59186.00,1636214.00,681075.00,1838711.00,413007.00,1425704.00,157920.00,137250.00,20670.00,48385.00,3553095.00,184697.00,47461.00,26627.00,110609.00,5247990.00
2008:Q1,14637776.00,8057.00,-188194.00,302476.00,314071.00,53142.00,1188946.00,7254009.00,236807.00,2556533.00,355671.00,2200862.00,1633398.00,48231.00,2779040.00,249671.00,2747026.00,210856.00,91010.00,2406706.00,8432406.00,64384.00,1599644.00,856945.00,1857943.00,460326.00,1397617.00,170534.00,150317.00,20217.00,47035.00,3649209.00,186712.00,47564.00,23627.00,115521.00,4786880.00
2008:Q2,14492007.00,8004.00,-186579.00,299125.00,309238.00,60308.00,1046502.00,7251129.00,226247.00,2587500.00,376743.00,2210757.00,1634015.00,51399.00,2751968.00,239468.00,2701219.00,207761.00,96915.00,2458917.00,8287220.00,64320.00,1487846.00,745496.00,1787548.00,470574.00,1316974.00,166890.00,147207.00,19683.00,51353.00,3773526.00,210241.00,48631.00,64627.00,96983.00,4701709.00
2008:Q3,14071455.00,7630.00,-61886.00,314105.00,324345.00,64994.00,917252.00,7046114.00,191968.00,2833879.00,504793.00,2329086.00,1525509.00,51180.00,2443578.00,228856.00,2490107.00,176416.00,98794.00,2464728.00,8109608.00,60489.00,1352787.00,708452.00,1559593.00,401087.00,1158506.00,172107.00,152988.00,19119.00,48755.00,3794899.00,412526.00,48760.00,290890.00,72876.00,3636110.00
2008:Q4,13699395.00,7547.00,287859.00,370133.00,372429.00,69679.00,563213.00,7255474.00,165451.00,3252974.00,758010.00,2494964.00,1402180.00,50960.00,2383909.00,226416.00,1929859.00,132895.00,86495.00,2397396.00,7875549.00,66293.00,1302936.00,402252.00,1433169.00,341972.00,1091197.00,171246.00,152384.00,18862.00,44402.00,3748512.00,706739.00,48845.00,556355.00,101539.00,2748428.00
2009:Q1,13145760.00,7325.00,187169.00,363876.00,320793.00,74365.00,573336.00,7184917.00,152019.00,3417839.00,858614.00,2559225.00,1319262.00,50741.00,2245056.00,188760.00,1712381.00,117988.00,84751.00,2330099.00,7852996.00,63648.00,1265830.00,520260.00,1455136.00,344792.00,1110344.00,167859.00,149426.00,18433.00,47093.00,3870615.00,462555.00,48983.00,312544.00,101028.00,2456973.00
2009:Q2,13470084.00,7605.00,47763.00,360350.00,305926.00,79050.00,544648.00,7313629.00,137125.00,3461983.00,856841.00,2605142.00,1284030.00,50521.00,2379970.00,193358.00,2037931.00,135200.00,88350.00,2356274.00,7947089.00,70145.00,1310456.00,477961.00,1604053.00,349528.00,1254525.00,161006.00,142287.00,18719.00,44083.00,3988359.00,291026.00,50280.00,117211.00,123535.00,3162209.00
2009:Q3,14267369.00,55953.00,149887.00,360729.00,295660.00,77963.00,525731.00,7497128.00,125504.00,3585857.00,862615.00,2723242.00,1214081.00,54588.00,2517098.00,182119.00,2444023.00,166043.00,96959.00,2415174.00,8342861.00,122980.00,1374194.00,529590.00,1768269.00,396388.00,1371881.00,159094.00,140361.00,18733.00,43317.00,4101700.00,243717.00,50358.00,59383.00,133976.00,3836151.00
2009:Q4,14362265.00,55364.00,85983.00,360953.00,299188.00,76875.00,489425.00,7479935.00,117157.00,3670597.00,750437.00,2920160.00,1150004.00,58655.00,2483522.00,182460.00,2657426.00,183380.00,93068.00,2398208.00,8149494.00,119424.00,1258432.00,454792.00,1849084.00,401333.00,1447751.00,156860.00,137535.00,19325.00,45079.00,4077369.00,188454.00,50496.00,12899.00,125059.00,3995295.00
2010:Q1,14820596.00,53618.00,66472.00,363850.00,294736.00,75788.00,544420.00,7613504.00,112902.00,3861702.00,725805.00,3135897.00,1117221.00,62722.00,2458957.00,185570.00,2860612.00,201239.00,101208.00,2459579.00,8253826.00,116245.00,1204754.00,548306.00,1920240.00,387527.00,1532713.00,159072.00,139393.00,19679.00,43800.00,4074946.00,186463.00,50981.00,2627.00,132855.00,4135014.00
2010:Q2,14687137.00,52228.00,47955.00,366954.00,299479.00,74700.00,518681.00,7807987.00,104172.00,4069735.00,726862.00,3342873.00,1148303.00,66790.00,2418987.00,176602.00,2540483.00,199073.00,107427.00,2495568.00,8367036.00,113244.00,1221270.00,624296.00,1906228.00,378336.00,1527892.00,163706.00,144158.00,19548.00,46792.00,4136441.00,155059.00,52308.00,3872.00,98879.00,3734612.00
2010:Q3,15628606.00,54958.00,1152.00,375208.00,294402.00,72232.00,582928.00,8295728.00,108359.00,4409180.00,747492.00,3661688.00,1133061.00,69263.00,2575865.00,163073.00,2863550.00,233876.00,107317.00,2584182.00,8783783.00,121830.00,1262385.00,680723.00,2049252.00,378017.00,1671235.00,171255.00,151639.00,19616.00,46501.00,4278167.00,173670.00,52636.00,2688.00,118346.00,4475807.00
2010:Q4,16054052.00,54387.00,24182.00,390450.00,308214.00,69765.00,581777.00,8251601.00,102123.00,4458824.00,710280.00,3748544.00,1095811.00,71736.00,2523107.00,162272.00,3213464.00,262540.00,111754.00,2623646.00,8862462.00,121136.00,1303877.00,663728.00,2076281.00,398632.00,1677649.00,181627.00,161979.00,19648.00,51078.00,4273559.00,191176.00,52830.00,2702.00,135644.00,4900246.00
2011:Q1,16794332.00,55993.00,283031.00,411308.00,329613.00,67297.00,642616.00,8348169.00,118270.00,4540880.00,664932.00,3875948.00,1079353.00,74208.00,2535458.00,167092.00,3437937.00,288517.00,113318.00,2649441.00,9033573.00,127049.00,1338512.00,667214.00,2158332.00,428222.00,1730110.00,198818.00,179117.00,19701.00,46252.00,4319489.00,177907.00,53399.00,2627.00,121881.00,5159980.00
2011:Q2,17121697.00,56521.00,255175.00,430852.00,347122.00,64829.00,674690.00,8524303.00,117903.00,4690562.00,641382.00,4049180.00,1074076.00,76680.00,2565082.00,185073.00,3459824.00,305244.00,115900.00,2702164.00,9394899.00,135375.00,1242958.00,730799.00,2283987.00,417168.00,1866819.00,206734.00,187136.00,19598.00,45998.00,4505315.00,243733.00,54859.00,2627.00,186247.00,5204875.00
2011:Q3,17042145.00,55150.00,313702.00,450070.00,352780.00,69594.00,619351.00,8784448.00,112444.00,4974399.00,635127.00,4339272.00,1088965.00,73494.00,2535146.00,196903.00,3027699.00,269189.00,128385.00,2774874.00,9449213.00,136217.00,1195775.00,747506.00,2261213.00,352534.00,1908679.00,220176.00,200367.00,19809.00,54327.00,4576304.00,257695.00,55285.00,3127.00,199283.00,4287221.00
2011:Q4,17512965.00,54219.00,238124.00,472282.00,355623.00,74359.00,678499.00,8748658.00,102709.00,5004354.00,647673.00,4356681.00,1078186.00,72370.00,2491039.00,196129.00,3397174.00,370368.00,128849.00,2798681.00,9431461.00,136682.00,1066420.00,764723.00,2258733.00,345131.00,1913602.00,226203.00,205202.00,21001.00,55098.00,4599498.00,324104.00,55394.00,102450.00,166260.00,4501438.00
2012:Q1,18187443.00,54707.00,276364.00,486895.00,344891.00,79123.00,646866.00,8914172.00,110695.00,5145060.00,634173.00,4510887.00,1073005.00,71671.00,2513741.00,171620.00,3845867.00,430177.00,132823.00,2803938.00,9482478.00,137836.00,1041284.00,762351.00,2292320.00,362572.00,1929748.00,238570.00,214382.00,24188.00,52410.00,4667246.00,290461.00,55758.00,49109.00,185594.00,5005403.00
